insert_time1 insert_time2 erase_time1 erase_time2 find_time1 find_time1 Max_depth1 Max_depth2 
0.0005504 0.0004309 0.0006258 0.0006258 0.0001315 0.0001283 41 38 
0.0004316 0.0004146 0.0006601 0.0006601 0.0001346 0.0001264 38 32 
0.000432 0.0003356 0.0006216 0.0006216 0.0001439 0.0001429 35 33 
0.0003792 0.0003988 0.0006176 0.0006176 0.000133 0.0001279 31 38 
0.0004116 0.0004108 0.0006102 0.0006102 0.0001387 0.0001317 36 30 
0.0004263 0.0004092 0.0007778 0.0007778 0.0001479 0.0001526 38 40 
0.0005727 0.0003855 0.0006634 0.0006634 0.0001502 0.0001374 36 33 
0.0003671 0.0003812 0.0006118 0.0006118 0.0001477 0.000144 36 35 
0.0004535 0.0004357 0.0006293 0.0006293 0.0001384 0.0001416 33 33 
0.0004255 0.0003828 0.0006159 0.0006159 0.0001436 0.0001324 35 33 
0.00043 0.0003414 0.000622 0.000622 0.0001332 0.0001364 32 31 
0.0003871 0.0004394 0.0006117 0.0006117 0.0001446 0.00013 34 36 
0.0004305 0.0004082 0.0006168 0.0006168 0.0001417 0.000128 33 33 
0.000458 0.0003925 0.0006056 0.0006056 0.0001512 0.0001254 34 32 
0.0004394 0.0004878 0.0006418 0.0006418 0.0001377 0.0001338 35 38 
0.0003651 0.0004105 0.0006355 0.0006355 0.0001439 0.0001342 35 32 
0.0004296 0.000374 0.0006153 0.0006153 0.0001422 0.0001922 36 37 
0.0004152 0.0003797 0.0006163 0.0006163 0.0001342 0.0001204 36 32 
0.0004211 0.0003456 0.0005959 0.0005959 0.0001445 0.00013 34 36 
0.000362 0.0003977 0.0006107 0.0006107 0.0001282 0.0001438 33 32 
0.0004187 0.0006074 0.0006162 0.0006162 0.0001337 0.0001299 35 37 
0.000608 0.0006715 0.0009163 0.0009163 0.0002037 0.0002025 41 34 
32768 elements ------ ------ ----- ------ ------- ------- 
0.000438 0.0004547 0.0007639 0.0007639 0.000157 0.0001537 36 34 
0.0005267 0.0005182 0.0008859 0.0008859 0.0001618 0.0001766 40 40 
0.000611 0.000582 0.0011061 0.0011061 0.000199 0.0001407 37 38 
0.0005364 0.0004446 0.0007691 0.0007691 0.0001822 0.0001658 38 36 
0.0004488 0.000439 0.000772 0.000772 0.000188 0.0001506 36 38 
0.0003857 0.0006227 0.0009857 0.0009857 0.0001513 0.0001342 37 37 
0.0004969 0.0004651 0.0011791 0.0011791 0.0001558 0.0001622 44 36 
0.0005432 0.0005277 0.0010108 0.0010108 0.0001601 0.0001426 35 38 
0.000396 0.0004306 0.0010645 0.0010645 0.0001428 0.0001363 40 38 
0.000426 0.0003458 0.0011159 0.0011159 0.0001542 0.0001427 34 40 
0.0004503 0.0003991 0.0010249 0.0010249 0.000153 0.0001419 36 38 
0.0008297 0.0008765 0.0011608 0.0011608 0.0001802 0.0001291 41 37 
0.0004496 0.0004625 0.001222 0.001222 0.0001545 0.0001258 38 37 
0.0006423 0.0004633 0.0007741 0.0007741 0.0001444 0.0001896 39 39 
0.0009081 0.0008872 0.000771 0.000771 0.0001597 0.0001951 37 36 
0.0004526 0.0004214 0.0012355 0.0012355 0.0001456 0.0001494 36 40 
0.0004266 0.0004231 0.0008975 0.0008975 0.0001573 0.0001412 40 35 
0.0004571 0.000424 0.0010556 0.0010556 0.000145 0.0001374 37 40 
0.0004351 0.0006446 0.0010547 0.0010547 0.0001584 0.0001687 36 39 
0.0005913 0.0006163 0.0011999 0.0011999 0.0001602 0.0001302 39 42 
0.0004163 0.0004319 0.0007465 0.0007465 0.0001479 0.0001387 37 36 
0.0003931 0.0004452 0.0007641 0.0007641 0.0001456 0.0001336 38 37 
0.0004131 0.0004395 0.0007861 0.0007861 0.0001503 0.0001322 37 39 
0.0004296 0.0003764 0.0008168 0.0008168 0.0001826 0.000147 34 36 
0.0004561 0.0003751 0.0007643 0.0007643 0.0001421 0.000125 39 38 
0.0004532 0.0003753 0.0010573 0.0010573 0.0001636 0.0001393 38 37 
0.0004723 0.0003743 0.001222 0.001222 0.0001557 0.0001374 39 38 
0.0004965 0.0004438 0.0009184 0.0009184 0.0001521 0.0001631 44 35 
0.0004329 0.000423 0.0009494 0.0009494 0.0001891 0.0001874 44 36 
0.0004408 0.0004346 0.0011235 0.0011235 0.0001492 0.0001436 37 38 
0.0004448 0.0006803 0.0007915 0.0007915 0.0001476 0.0001343 37 39 
0.0004669 0.0004561 0.0010483 0.0010483 0.0001541 0.0001886 36 34 
0.0004442 0.0004422 0.0011112 0.0011112 0.00015 0.0001646 40 37 
0.0005597 0.0004556 0.0007505 0.0007505 0.0001592 0.0001551 35 40 
0.0004105 0.0004377 0.0011621 0.0011621 0.0001999 0.0001637 35 37 
0.000401 0.0006755 0.0010551 0.0010551 0.0001779 0.0001329 37 39 
0.0007744 0.0009208 0.0007612 0.0007612 0.0001535 0.0001384 36 38 
0.0008558 0.0007878 0.0007477 0.0007477 0.0001544 0.000184 43 34 
0.0009279 0.0004798 0.0008104 0.0008104 0.000156 0.0001411 38 39 
0.0005385 0.0004267 0.0009376 0.0009376 0.0001504 0.0001427 38 42 
0.0004456 0.0004432 0.0007637 0.0007637 0.0002085 0.0001498 38 35 
0.0004397 0.0003997 0.0007459 0.0007459 0.000153 0.0001299 35 36 
0.0004629 0.0004096 0.000757 0.000757 0.0001394 0.0001456 36 36 
0.0006222 0.0005442 0.000759 0.000759 0.0001454 0.0001285 36 35 
0.0004699 0.0004614 0.0007783 0.0007783 0.0001458 0.0001312 42 35 
0.0004368 0.0004306 0.0012571 0.0012571 0.0001591 0.0001345 38 35 
0.0005618 0.0005635 0.0009604 0.0009604 0.0001553 0.0001836 38 37 
0.0005901 0.0005587 0.0009453 0.0009453 0.0001592 0.0001366 35 36 
0.0005936 0.0005478 0.0007876 0.0007876 0.0001489 0.0001398 36 38 
0.0008412 0.0005293 0.0008647 0.0008647 0.0001769 0.0001514 40 41 
65536 elements ------ ------ ----- ------ ------- ------- 
0.0004227 0.000442 0.0009034 0.0009034 0.0001474 0.0001346 39 42 
0.0005939 0.0005793 0.0012057 0.0012057 0.000206 0.0001865 39 42 
0.0004613 0.000391 0.0013333 0.0013333 0.0001554 0.0002484 44 41 
0.0004532 0.0005266 0.0013728 0.0013728 0.0001579 0.0001784 37 43 
